1900065000+1000,2023-05-14T15:17:59.890Z,2023-05-14T15:17:59.931Z
1900067000+1000,2023-05-14T15:17:59.926Z,2023-05-14T15:17:59.957Z
1900068000+1000,2023-05-14T15:17:59.931Z,2023-05-14T15:17:59.970Z
1900070000+1000,2023-05-14T15:17:59.957Z,2023-05-14T15:17:59.986Z
1900069000+1000,2023-05-14T15:17:59.946Z,2023-05-14T15:17:59.987Z
1900071000+1000,2023-05-14T15:17:59.970Z,2023-05-14T15:18:00.008Z
1900072000+1000,2023-05-14T15:17:59.986Z,2023-05-14T15:18:00.024Z
1900073000+1000,2023-05-14T15:17:59.988Z,2023-05-14T15:18:00.026Z
1900074000+1000,2023-05-14T15:18:00.008Z,2023-05-14T15:18:00.044Z
1900075000+1000,2023-05-14T15:18:00.025Z,2023-05-14T15:18:00.054Z
1900076000+1000,2023-05-14T15:18:00.026Z,2023-05-14T15:18:00.056Z
1900078000+1000,2023-05-14T15:18:00.055Z,2023-05-14T15:18:00.090Z
1900079000+1000,2023-05-14T15:18:00.059Z,2023-05-14T15:18:00.092Z
1900077000+1000,2023-05-14T15:18:00.044Z,2023-05-14T15:18:00.108Z
1900080000+1000,2023-05-14T15:18:00.091Z,2023-05-14T15:18:00.119Z
1900081000+1000,2023-05-14T15:18:00.092Z,2023-05-14T15:18:00.126Z
1900082000+1000,2023-05-14T15:18:00.108Z,2023-05-14T15:18:00.146Z
1900083000+1000,2023-05-14T15:18:00.119Z,2023-05-14T15:18:00.163Z
1900084000+1000,2023-05-14T15:18:00.126Z,2023-05-14T15:18:00.173Z
1900085000+1000,2023-05-14T15:18:00.146Z,2023-05-14T15:18:00.186Z
1900086000+1000,2023-05-14T15:18:00.163Z,2023-05-14T15:18:00.199Z
1900087000+1000,2023-05-14T15:18:00.173Z,2023-05-14T15:18:00.213Z
1900088000+1000,2023-05-14T15:18:00.186Z,2023-05-14T15:18:00.223Z
1900089000+1000,2023-05-14T15:18:00.200Z,2023-05-14T15:18:00.235Z
1900090000+1000,2023-05-14T15:18:00.213Z,2023-05-14T15:18:00.240Z
1900091000+1000,2023-05-14T15:18:00.223Z,2023-05-14T15:18:00.259Z
1900092000+1000,2023-05-14T15:18:00.235Z,2023-05-14T15:18:00.266Z
1900093000+1000,2023-05-14T15:18:00.240Z,2023-05-14T15:18:00.278Z
1900094000+1000,2023-05-14T15:18:00.259Z,2023-05-14T15:18:00.295Z
1900095000+1000,2023-05-14T15:18:00.266Z,2023-05-14T15:18:00.300Z
1900096000+1000,2023-05-14T15:18:00.278Z,2023-05-14T15:18:00.303Z
1900098000+1000,2023-05-14T15:18:00.300Z,2023-05-14T15:18:00.325Z
1900097000+1000,2023-05-14T15:18:00.295Z,2023-05-14T15:18:00.334Z
1900099000+1000,2023-05-14T15:18:00.303Z,2023-05-14T15:18:00.336Z
1900100000+1000,2023-05-14T15:18:00.325Z,2023-05-14T15:18:00.350Z
1900101000+1000,2023-05-14T15:18:00.334Z,2023-05-14T15:18:00.368Z
1900102000+1000,2023-05-14T15:18:00.339Z,2023-05-14T15:18:00.370Z
1900103000+1000,2023-05-14T15:18:00.350Z,2023-05-14T15:18:00.399Z
1900104000+1000,2023-05-14T15:18:00.368Z,2023-05-14T15:18:00.418Z
1900105000+1000,2023-05-14T15:18:00.375Z,2023-05-14T15:18:00.419Z
1900106000+1000,2023-05-14T15:18:00.402Z,2023-05-14T15:18:00.439Z
1900107000+1000,2023-05-14T15:18:00.418Z,2023-05-14T15:18:00.453Z
1900108000+1000,2023-05-14T15:18:00.423Z,2023-05-14T15:18:00.460Z
1900109000+1000,2023-05-14T15:18:00.439Z,2023-05-14T15:18:00.473Z
1900111000+1000,2023-05-14T15:18:00.462Z,2023-05-14T15:18:00.491Z
1900110000+1000,2023-05-14T15:18:00.453Z,2023-05-14T15:18:00.494Z
1900112000+1000,2023-05-14T15:18:00.474Z,2023-05-14T15:18:00.503Z
1900113000+1000,2023-05-14T15:18:00.491Z,2023-05-14T15:18:00.524Z
1900114000+1000,2023-05-14T15:18:00.494Z,2023-05-14T15:18:00.537Z
1900115000+1000,2023-05-14T15:18:00.503Z,2023-05-14T15:18:00.540Z
1900116000+1000,2023-05-14T15:18:00.524Z,2023-05-14T15:18:00.558Z
1900118000+1000,2023-05-14T15:18:00.540Z,2023-05-14T15:18:00.571Z
1900117000+1000,2023-05-14T15:18:00.537Z,2023-05-14T15:18:00.578Z
1900119000+1000,2023-05-14T15:18:00.558Z,2023-05-14T15:18:00.600Z
1900120000+1000,2023-05-14T15:18:00.571Z,2023-05-14T15:18:00.601Z
1900121000+1000,2023-05-14T15:18:00.578Z,2023-05-14T15:18:00.612Z
